NAME,GEOID,state_name,"Auto/Retail Debt Delinquency Rate, All","Auto/Retail Debt Delinquency Rate, Communities of Color","Auto/Retail Debt Delinquency Rate, Majority White Communities","Share of Subprime Consumers with Auto/Retail Delinquencies, All","Share of Near-Prime Consumers with Auto/Retail Delinquencies, All","Share of Prime Consumers with Auto/Retail Delinquencies, All","Share with Open Auto Debt, All","Share with Open Auto Debt, Communities of Color","Share with Open Auto Debt, Majority White Communities","Share with Open Auto/Retail Debt, All","Share with Open Auto/Retail Debt, Communities of Color","Share with Open Auto/Retail Debt, Majority White Communities","% population in rural areas, 2010 (Census)",poc_pct,"Average household income, 2019 (ACS)","Average non-white household income, 2019 (ACS)","Average white, non-Hispanic household income, 2019 (ACS)"
"Elmore County, Alabama",1051,Alabama,0.0582437,n/a**,0.0583255,0.2924528,0.0140187,0,0.3015637,n/a**,0.3018497,0.4091586,n/a**,0.4120425,0.5418836,0.2684117,82576,61579,89085
"Escambia County, Alabama",1053,Alabama,0.0589391,n/a**,0.0481481,0.234375,0,0,0.3189509,n/a**,0.2624114,0.4238579,n/a**,0.377305,0.6351157,0.3976577,50242,37092,57937
"Etowah County, Alabama",1055,Alabama,0.0650741,n/a**,0.0609391,0.2629758,0.008547,0,0.281717,n/a**,0.2773973,0.3783784,n/a**,0.3740487,0.3748348,0.2213863,59944,41337,64318
"Fayette County, Alabama",1057,Alabama,0.0765027,n/a**,0.0765027,0.28,n/a*,0,0.2577519,n/a**,0.2577519,0.3527132,n/a**,0.3527132,0.8023316,0.1550261,53897,32000,57335
"Franklin County, Alabama",1059,Alabama,0.0530504,n/a**,0.0474308,0.1938775,0.0128205,0,0.3102679,n/a**,0.3158784,0.4151786,n/a**,0.4222973,0.7036651,0.2315197,56907,49122,58400
"Geneva County, Alabama",1061,Alabama,0.0842697,n/a**,0.0842697,0.35,0.0298507,0,0.3071749,n/a**,0.3075196,0.3890134,n/a**,0.38945,0.8964165,0.1614869,53077,38198,55244
"Greene County, Alabama",1063,Alabama,0.172043,0.173913,n/a*,n/a*,n/a*,n/a*,0.2635983,0.2627119,n/a*,0.3849372,0.3855932,n/a*,1,0.8276069,36431,29370,65925
"Hale County, Alabama",1065,Alabama,0.097561,0.1209677,n/a**,0.3103448,n/a*,0,0.3138833,0.3098592,n/a**,0.4024145,0.4225352,n/a**,0.8916878,0.6046999,51992,35091,76553
"Henry County, Alabama",1067,Alabama,0.0572687,n/a*,0.0547945,n/a*,n/a*,0,0.2969589,n/a*,0.3033708,0.3989266,n/a*,0.4026217,0.8775286,0.3082939,62696,41762,70563
"Houston County, Alabama",1069,Alabama,0.0690362,n/a**,0.0710808,0.2455696,0.0108303,0.0012642,0.3148849,n/a**,0.3172155,0.4200408,n/a**,0.4226761,0.3380405,0.3533745,69495,43355,81707
"Jackson County, Alabama",1071,Alabama,0.0773723,n/a**,0.0773723,0.3509934,0,0,0.2944039,n/a**,0.2944039,0.406326,n/a**,0.406326,0.770173,0.1075175,54808,48121,55484
"Jefferson County, Alabama",1073,Alabama,0.0949341,0.1527675,0.0479643,0.3157895,0.021645,0.0013277,0.2724051,0.2551553,0.2822907,0.3422177,0.3415557,0.3405197,0.0983377,0.5062324,79833,56125,102950
"Lamar County, Alabama",1075,Alabama,0.0470588,n/a**,0.0470588,n/a*,n/a*,0,0.2932692,n/a**,0.2932692,0.4038461,n/a**,0.4038461,1,0.1400792,54252,39513,56564
"Lauderdale County, Alabama",1077,Alabama,0.0638095,n/a**,0.0639313,0.2876106,0,0.0032841,0.2630324,n/a**,0.2644033,0.3516184,n/a**,0.3532236,0.4929511,0.152794,62091,43816,65078
"Lawrence County, Alabama",1079,Alabama,0.0811966,n/a*,0.0779817,0.3271028,0.01,0.0076628,0.3230047,0.3389831,0.3220676,0.429108,0.5084746,0.4244533,0.9128979,0.2351322,58315,56852,58753
"Lee County, Alabama",1081,Alabama,0.0628127,n/a*,0.0664876,0.2665037,0.0086705,0,0.292984,n/a*,0.3038009,0.3819835,n/a*,0.3907923,0.274095,0.3255808,78000,65892,82732
"Limestone County, Alabama",1083,Alabama,0.0441389,n/a*,0.0482283,0.260274,0.0117188,0.0011025,0.336993,n/a*,0.3185336,0.4165904,n/a*,0.4081466,0.5760914,0.2345583,83580,73900,85725
"Lowndes County, Alabama",1085,Alabama,0.1221374,0.1686747,n/a*,n/a*,n/a*,0,0.2484277,0.2361111,0.2711864,0.4056604,0.375,0.440678,1,0.7534478,47139,36481,78432
"Macon County, Alabama",1087,Alabama,0.0976744,0.0967742,n/a*,0.3,n/a*,0,0.2276867,0.2251816,n/a*,0.3752277,0.3607748,n/a*,0.5554727,0.8414582,50091,48519,57468
"Madison County, Alabama",1089,Alabama,0.0473976,0.1012658,0.0335229,0.2317352,0.0077821,0.0010468,0.2964584,0.2378568,0.3054933,0.3678692,0.3450175,0.3709641,0.1644152,0.3574411,88904,69292,98821
"Marengo County, Alabama",1091,Alabama,0.1074074,n/a*,n/a*,0.4242424,0.0169492,0,0.3255426,0.3473684,0.245283,0.4407346,0.4842105,0.3584906,0.6931564,0.5511619,54556,42686,70338
"Marion County, Alabama",1093,Alabama,0.0557276,n/a**,0.0557276,0.1904762,0.028169,0,0.2491657,n/a**,0.2494432,0.3559511,n/a**,0.3563474,0.8885495,0.0814639,50367,35476,51381
"Marshall County, Alabama",1095,Alabama,0.0597285,n/a**,0.0597826,0.2695652,0.018018,0,0.273916,n/a**,0.2740103,0.3733655,n/a**,0.3731498,0.5326869,0.1924553,63823,64015,63792
"Mobile County, Alabama",1097,Alabama,0.0730621,0.1221532,0.052598,0.2625954,0.0138751,0.0011442,0.2901475,0.2586858,0.3098539,0.3695635,0.3508308,0.3857874,0.2002024,0.4359381,64556,47658,76669
"Monroe County, Alabama",1099,Alabama,0.0731707,n/a*,0.0192308,0.2317073,0.0166667,0.0068966,0.3033537,0.3030303,0.3187773,0.4344512,0.4848485,0.4497817,0.7904456,0.4572637,48659,32475,62899
"Montgomery County, Alabama",1101,Alabama,0.108031,0.1199069,0.0851927,0.341823,0.019305,0,0.2628085,0.2560308,0.29,0.3456487,0.3399554,0.3692308,0.1049123,0.6609824,72113,56444,99514
"Morgan County, Alabama",1103,Alabama,0.06399,n/a**,0.0449251,0.260274,0.0192308,0.0010905,0.3082915,n/a**,0.3197935,0.3934673,n/a**,0.4086058,0.3859737,0.2436815,73817,55320,79073
"Perry County, Alabama",1105,Alabama,0.1545455,0.1545455,n/a**,n/a*,n/a*,n/a*,0.3092369,0.3092369,n/a**,0.4297189,0.4297189,n/a**,1,0.7065533,35819,30276,47057
"Pickens County, Alabama",1107,Alabama,0.0671642,0.1044776,0.044586,0.2394366,0.0149254,0,0.3629764,0.3550725,0.3622755,0.4827586,0.4782609,0.4670659,1,0.4635183,56370,33764,73424
"Pike County, Alabama",1109,Alabama,0.0904393,n/a*,0.0733333,0.2844827,0.021978,0,0.2927631,n/a*,0.3301587,0.4133772,n/a*,0.4603175,0.5167938,0.4398344,57838,41986,69242
"Randolph County, Alabama",1111,Alabama,0.0968858,n/a**,0.0968858,0.2873563,0.0434783,0,0.2855114,n/a**,0.2855114,0.4005682,n/a**,0.4005682,0.8134247,0.2470526,58836,37341,65019
"Russell County, Alabama",1113,Alabama,0.0858257,0.086747,0.0944882,0.2450593,0.0168539,0,0.3049605,0.3183857,0.2903226,0.4244645,0.4529148,0.4096774,0.3540899,0.5393429,55932,54048,57928
"St. Clair County, Alabama",1115,Alabama,0.0722367,n/a*,0.0724891,0.3019608,0.0174672,0,0.2927516,n/a*,0.2935359,0.3951443,n/a*,0.3952667,0.7279677,0.1413018,78406,52312,82379
"Shelby County, Alabama",1117,Alabama,0.0430312,n/a**,0.0432453,0.2389791,0.0165094,0.001694,0.3154848,n/a**,0.3156209,0.3778582,n/a**,0.378221,0.2294487,0.2213445,101601,87640,105237
"Sumter County, Alabama",1119,Alabama,0.0993789,0.0993789,n/a**,0.25,n/a*,0,0.3602305,0.3602305,n/a**,0.4582133,0.4582133,n/a**,1,0.751895,38978,30744,64902
"Talladega County, Alabama",1121,Alabama,0.1078998,n/a**,0.0980392,0.34375,0.0085837,0,0.2459872,n/a**,0.2464945,0.4069021,n/a**,0.4059041,0.5581534,0.3737296,62758,52332,68492
"Tallapoosa County, Alabama",1123,Alabama,0.071161,n/a*,0.0736842,0.2846154,0.0095238,0,0.247605,0.3294118,0.2442053,0.3839352,0.4117647,0.384106,0.7422626,0.3112651,60734,39221,68552
"Tuscaloosa County, Alabama",1125,Alabama,0.0804505,n/a*,0.0581484,0.2988871,0.0206767,0.0007547,0.3090464,n/a*,0.3309971,0.39837,n/a*,0.4112775,0.2550808,0.3845156,73432,52839,84986
"Walker County, Alabama",1127,Alabama,0.1003963,n/a**,0.1024259,0.3384615,0.0653595,0,0.266129,n/a**,0.2654959,0.3704637,n/a**,0.3719008,0.74088,0.1105288,60865,32917,63943
"Washington County, Alabama",1129,Alabama,0.08,0.1,0.0763889,0.2962963,n/a*,0,0.326087,0.3853211,0.325,0.4367589,0.4495413,0.44375,1,0.3505229,60489,55890,62764
"Wilcox County, Alabama",1131,Alabama,0.0902778,0.0875912,n/a*,n/a*,n/a*,0,0.2464986,0.254491,n/a*,0.394958,0.4011976,n/a*,1,0.7315794,42500,34916,61153
"Winston County, Alabama",1133,Alabama,0.0555556,n/a**,0.0555556,0.2758621,0,0,0.262533,n/a**,0.262533,0.3733509,n/a**,0.3733509,0.8489217,0.0630256,53167,35904,53965
"Aleutians East Borough, Alaska",2013,Alaska,n/a*,n/a*,n/a**,n/a*,n/a*,n/a*,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,1,0.8679468,79535,75681,97812
"Aleutians West Census Area, Alaska",2016,Alaska,n/a*,n/a*,n/a**,n/a*,n/a*,n/a*,0.1038961,0.1038961,n/a**,0.2077922,0.2077922,n/a**,1,0.7616708,101964,86979,133787
"Anchorage Municipality, Alaska",2020,Alaska,0.0211316,0.034965,0.0173554,0.1469816,0.0088183,0.0005035,0.3041687,0.2756696,0.3036756,0.3538536,0.3180804,0.3515169,0.0411718,0.4304549,109042,86133,121674
"Bethel Census Area, Alaska",2050,Alaska,0.0322581,0.0322581,n/a**,n/a*,n/a*,n/a*,0.1205674,0.1205674,n/a**,0.212766,0.212766,n/a**,0.7393758,0.9027241,70804,59999,132395
"Bristol Bay Borough, Alaska",2060,Alaska,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,1,0.4914286,96032,79036,110244
"Denali Borough, Alaska",2068,Alaska,n/a*,n/a**,n/a*,n/a*,n/a*,n/a*,0.2941177,n/a**,0.2941177,0.372549,n/a**,0.372549,1,0.1576135,85694,73123,87109
"Dillingham Census Area, Alaska",2070,Alaska,n/a*,n/a*,n/a**,n/a*,n/a*,n/a*,0.1782178,0.1782178,n/a**,0.2376238,0.2376238,n/a**,1,0.8459988,72576,65900,114253
"Fairbanks North Star Borough, Alaska",2090,Alaska,0.0212578,n/a*,0.0184922,0.1653543,0,0.002611,0.3503909,n/a*,0.356021,0.3997868,n/a*,0.408377,0.3087076,0.3006904,103334,109301,101587
"Haines Borough, Alaska",2100,Alaska,n/a*,n/a**,n/a*,n/a*,n/a*,n/a*,0.1232877,n/a**,0.1232877,0.1506849,n/a**,0.1506849,1,0.2247816,72356,46093,77207
"Juneau City and Borough, Alaska",2110,Alaska,0.0068729,n/a**,0.0078431,n/a*,n/a*,0,0.2359081,n/a**,0.2417178,0.3037578,n/a**,0.3128834,0.2154436,0.3532131,107328,104494,108249
"Kenai Peninsula Borough, Alaska",2122,Alaska,0.0181818,n/a*,0.0166976,0.1754386,0,0,0.2640092,n/a*,0.2667457,0.3154246,n/a*,0.3177238,0.7933754,0.2007731,85348,71327,87619
"Ketchikan Gateway Borough, Alaska",2130,Alaska,0,n/a**,0,n/a*,n/a*,0,0.2137931,n/a**,0.2155388,0.2666667,n/a**,0.2681704,0.2318765,0.3603623,92764,75027,100439
"Kodiak Island Borough, Alaska",2150,Alaska,0.025,n/a*,n/a**,n/a*,n/a*,0,0.2886905,n/a*,n/a**,0.3571429,n/a*,n/a**,0.313199,0.5097019,94946,82439,103039
"Kusilvak Census Area, Alaska",2158,Alaska,n/a*,n/a*,n/a**,n/a*,n/a*,n/a*,0.0409836,0.0409836,n/a**,0.1639344,0.1639344,n/a**,1,0.9642424,47654,46211,105445
"Lake and Peninsula Borough, Alaska",2164,Alaska,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,1,0.7903805,58583,48212,96195
"Matanuska-Susitna Borough, Alaska",2170,Alaska,0.0207254,n/a*,0.0187266,0.1538462,0.0091743,0,0.3301435,n/a*,0.3198068,0.3940533,n/a*,0.3850242,0.5029384,0.2143431,92126,75535,95478
"Nome Census Area, Alaska",2180,Alaska,n/a*,n/a*,n/a**,n/a*,n/a*,n/a*,0.1609195,0.1609195,n/a**,0.2758621,0.2758621,n/a**,0.6605563,0.8534241,76581,64278,124191
"North Slope Borough, Alaska",2185,Alaska,0.0181818,0.0181818,n/a*,n/a*,n/a*,n/a*,0.2820513,0.283871,n/a*,0.3525641,0.3548387,n/a*,0.5933192,0.6908701,94169,88352,147085
"Northwest Arctic Borough, Alaska",2188,Alaska,n/a*,n/a*,n/a**,n/a*,n/a*,n/a*,0.1102362,0.1102362,n/a**,0.2125984,0.2125984,n/a**,0.5746378,0.8922877,79967,70570,127172
"Petersburg Borough, Alaska",2195,Alaska,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,1,0.3451028,92572,61559,103776
"Prince of Wales-Hyder Census Area, Alaska",2198,Alaska,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,0.2,n/a*,0.2264151,0.2888889,n/a*,0.3018868,1,0.5473701,66387,59961,71726
"Sitka City and Borough, Alaska",2220,Alaska,0.0188679,n/a**,0.0188679,n/a*,n/a*,n/a*,0.1531915,n/a**,0.1531915,0.2255319,n/a**,0.2255319,0.2087603,0.3842593,90196,73324,97881
"Southeast Fairbanks Census Area, Alaska",2240,Alaska,0,n/a*,n/a*,n/a*,n/a*,0,0.2838428,n/a*,0.2516556,0.3144105,n/a*,0.2781457,1,0.2634487,80810,49184,88603
"Valdez-Cordova Census Area, Alaska",2261,Alaska,0.0357143,n/a**,0.0263158,n/a*,n/a*,0,0.2625483,n/a**,0.2552301,0.3243243,n/a**,0.3179916,1,0.306935,96106,90479,97452
"Yakutat City and Borough, Alaska",2282,Alaska,n/a*,n/a**,n/a**,n/a*,n/a*,n/a*,n/a*,n/a**,n/a**,n/a*,n/a**,n/a**,1,0.5670262,76895,67697,87253
"Yukon-Koyukuk Census Area, Alaska",2290,Alaska,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,0.1272727,0.0945946,n/a*,0.2,0.2027027,n/a*,1,0.7844523,53438,46378,78732
"Apache County, Arizona",4001,Arizona,0.13732,0.1671309,0.0377358,0.3753846,0.0076628,0,0.4337417,0.4774292,0.2910959,0.4933185,0.537873,0.3561644,0.7406108,0.8200648,43748,37697,65916
"Cochise County, Arizona",4003,Arizona,0.0297784,0.0506912,0.0216138,0.1826087,0.0035971,0,0.2893265,0.2773498,0.2900208,0.3496231,0.3343605,0.3586279,0.3630107,0.4522959,67592,58576,73094
"Coconino County, Arizona",4005,Arizona,0.061849,0.1179138,0.0390805,0.25,0.0243902,0.0011534,0.3220798,0.4326711,0.2844726,0.3730902,0.4768212,0.3389964,0.3146607,0.4590872,81219,59846,93416
"Gila County, Arizona",4007,Arizona,0.0361905,n/a*,0.0213415,0.2209302,0,0,0.2624688,0.2837838,0.2458858,0.3235661,0.3378378,0.3146176,0.41062,0.3774698,58074,52893,60152
"Graham County, Arizona",4009,Arizona,0.0719258,0.2068966,0.0402685,0.2815534,0.0212766,0,0.3903688,0.3741497,0.4203822,0.4395492,0.3877551,0.4713376,0.464374,0.4914201,60143,52049,65726
"Greenlee County, Arizona",4011,Arizona,0.0192308,n/a*,n/a*,n/a*,n/a*,0,0.4085106,0.4,0.3157895,0.4425532,0.4,0.381579,0.4656869,0.5338164,74470,65086,82930
"La Paz County, Arizona",4012,Arizona,0.0392157,0.046875,0.0298507,n/a*,0.0188679,0,0.2859619,0.3113773,0.2842105,0.3500867,0.3802395,0.3473684,0.5632778,0.4260088,48900,49273,48728
"Maricopa County, Arizona",4013,Arizona,0.0395944,0.0682327,0.0253457,0.201395,0.0090939,0.0004895,0.311102,0.2954513,0.3168442,0.353487,0.3470758,0.3544501,0.023638,0.4565804,92992,76883,101753
"Mohave County, Arizona",4015,Arizona,0.0344828,n/a*,0.0337838,0.1682785,0.0042644,0,0.2977987,n/a*,0.2997223,0.3624533,n/a*,0.3647523,0.2296364,0.2340313,63437,56369,65001
"Navajo County, Arizona",4017,Arizona,0.0865079,0.1575221,0.0226904,0.2934783,0,0.0016367,0.3621711,0.4303691,0.318322,0.4105263,0.4647651,0.3800123,0.5413824,0.5853197,53425,42266,64474
"Pima County, Arizona",4019,Arizona,0.0363652,0.0492288,0.0250324,0.1895298,0.0083488,0.0002824,0.2941502,0.3212191,0.2875637,0.344353,0.3833206,0.3291613,0.0752349,0.488737,76892,65083,84544
"Pinal County, Arizona",4021,Arizona,0.0323782,0.0429594,0.0214592,0.1725704,0.0058091,0.0002585,0.3579677,0.3072128,0.3659787,0.4162478,0.3695458,0.423617,0.2190462,0.4400796,78763,70124,82969
"Santa Cruz County, Arizona",4023,Arizona,0.0354132,0.0383142,0.015873,0.1869159,0.0076923,0,0.3002336,0.3193571,0.2537313,0.3422897,0.360587,0.3084577,0.2688317,0.851463,61551,55369,84298
"Yavapai County, Arizona",4025,Arizona,0.0257848,n/a**,0.025641,0.1728723,0.0072639,0.0005299,0.2650986,n/a**,0.2637445,0.3256156,n/a**,0.3249843,0.3319718,0.2003199,71282,70313,71439
"Yuma County, Arizona",4027,Arizona,0.0318973,0.0386579,0.028777,0.179803,0.0059289,0.0006658,0.3230131,0.3196924,0.2885118,0.3831791,0.374897,0.3590078,0.1042958,0.6992614,59182,54724,65286
"Arkansas County, Arkansas",5001,Arkansas,0.0865801,n/a**,0.0884956,0.3214286,n/a*,0,0.3584906,n/a**,0.3535528,0.3910806,n/a**,0.3864818,0.347074,0.3023892,61946,40086,69914
"Ashley County, Arkansas",5003,Arkansas,0.0885246,n/a*,0.0912281,0.3095238,0.0147059,0,0.3687405,n/a*,0.3664495,0.4567527,n/a*,0.4576547,0.5168169,0.3176616,59845,33834,70400
"Baxter County, Arkansas",5005,Arkansas,0.0273438,n/a**,0.0279441,0.1818182,0.0232558,0,0.263329,n/a**,0.2629827,0.3322497,n/a**,0.3328895,0.6584203,0.0529124,59206,63154,59038
"Benton County, Arkansas",5007,Arkansas,0.0377146,n/a**,0.036478,0.21489,0.0082237,0.000425,0.3378562,n/a**,0.3351899,0.3982361,n/a**,0.3989874,0.2516005,0.2739941,96757,80942,100667
"Boone County, Arkansas",5009,Arkansas,0.0363289,n/a**,0.035503,0.1764706,0.0105263,0,0.3275316,n/a**,0.3338816,0.4113924,n/a**,0.415296,0.621982,0.0612895,60651,71750,60148
"Bradley County, Arkansas",5011,Arkansas,0.0461538,n/a**,n/a*,n/a*,n/a*,0,0.3240741,n/a**,n/a*,0.3981481,n/a**,n/a*,0.4959159,0.4450064,56779,37351,71582
"Calhoun County, Arkansas",5013,Arkansas,0.0645161,n/a**,n/a*,n/a*,n/a*,n/a*,0.4140625,n/a**,0.4615385,0.4765625,n/a**,0.5164835,1,0.2754237,58285,39088,64656
"Carroll County, Arkansas",5015,Arkansas,0.0403458,n/a**,0.0403458,0.2592593,0,0,0.2880979,n/a**,0.2880979,0.3837597,n/a**,0.3837597,0.7283393,0.2037905,62300,44888,64862
"Chicot County, Arkansas",5017,Arkansas,0.1119403,0.2,n/a*,n/a*,n/a*,0,0.3435583,0.2926829,n/a*,0.4018405,0.347561,n/a*,0.5427966,0.6127179,50528,42784,61866
"Clark County, Arkansas",5019,Arkansas,0.039823,n/a*,0.0451977,0.125,n/a*,0,0.2857143,n/a*,0.2860082,0.3539683,n/a*,0.3580247,0.5437704,0.3130975,54473,45120,58488
"Clay County, Arkansas",5021,Arkansas,0.0231214,n/a**,0.0231214,n/a*,n/a*,0,0.3192389,n/a**,0.3192389,0.3636364,n/a**,0.3636364,0.5885718,0.0466116,50617,35491,51223
"Cleburne County, Arkansas",5023,Arkansas,0.0373563,n/a**,0.0373563,0.1896552,0.0322581,0,0.3290183,n/a**,0.3290183,0.3710895,n/a**,0.3710895,0.7552176,0.0532669,61420,45209,61962
"Cleveland County, Arkansas",5025,Arkansas,0.037037,n/a**,0.0373832,n/a*,n/a*,0,0.4200913,n/a**,0.4193548,0.4931507,n/a**,0.4930876,1,0.1542815,59231,39981,62370
"Columbia County, Arkansas",5027,Arkansas,0.0823045,n/a*,0.1025641,0.2898551,n/a*,0,0.2617354,n/a*,0.2864078,0.3342817,n/a*,0.368932,0.5748615,0.4072594,54263,33157,68556
"Conway County, Arkansas",5029,Arkansas,0.0367893,n/a*,0.0371622,0.1587302,0.0181818,0,0.389313,n/a*,0.3898305,0.4503817,n/a*,0.4499229,0.7051662,0.18415,61828,55863,62990
"Craighead County, Arkansas",5031,Arkansas,0.0478998,n/a**,0.0431267,0.1787879,0.010101,0.0041096,0.3569704,n/a**,0.3522562,0.4034399,n/a**,0.3995633,0.3216822,0.2396851,68763,58608,72014
"Crawford County, Arkansas",5033,Arkansas,0.0328947,n/a**,0.031746,0.1578947,0.0072993,0,0.3187728,n/a**,0.3193717,0.3931357,n/a**,0.3937173,0.5196132,0.1573184,62144,47942,64180
